; Date generated Fri Jul  7 14:01:49 2023
; 
;   Solar Spectral Irradiance from 
;   NASA SDO EVE Rocket 36.353 Results
;     MEGS-A and B Combined Spectrum
;     Sept 9, 2021
; ------------------------------------
;     Don Woodraska, Brian Templeman, Phil Chamberlin,
;     Tom Woods, Frank Eparvier, Andrew Jones
; 
;  This spectrum spans the EUV from approximately 6 to 105 nm.
; 
; *****
; ***** WARNING: THIS IS PRELIMINARY DATA - DO NOT PUBLISH
; *****
; ***** WARNING: This data is not ready for publication and may change.
; *****
; ***** WARNING: Uncertainties are underestimated!
; *****
; 
;  Applied calibration from SURF 2017
;  Applied NRL-MSIS00E atmospheric correction, about 3% at 30.4 nm
; 
;  MEGS-A slit 1 wavelength range is 0.01 nm sampling from 6-14.93 nm
;  MEGS-A slit 2 wavelength range is 0.01 nm sampling from 14.93-37.0000 nm
;  MEGS-B wavelength range is 0.02 nm sampling from 37.0000-105 nm
;  MEGS-B used 2017 380MeV scaled to 2010 ratio of 140/380MeV
;  MEGS-A1 used 2017 285MeV adjusted for 3_7
  9.360 3.581676e-05  0.090
  9.380 3.935661e-05  0.088
  9.400 4.081325e-05  0.088
  9.420 3.739292e-05  0.091
  9.440 3.059817e-05  0.095
  9.460 2.410928e-05  0.096
  9.480 2.089947e-05  0.092
  9.500 2.258632e-05  0.090
  9.520 2.820974e-05  0.091
  9.540 3.659100e-05  0.090
  9.560 4.453733e-05  0.089
  9.580 4.992464e-05  0.089
  9.600 5.208899e-05  0.089
  9.620 4.898722e-05  0.088
  9.640 4.267552e-05  0.090
  9.660 3.533322e-05  0.091
  9.680 2.934152e-05  0.092
  9.700 2.689279e-05  0.090
  9.720 2.713509e-05  0.089
  9.740 2.857923e-05  0.089
  9.760 3.100676e-05  0.089
  9.780 3.482780e-05  0.091
  9.800 3.832628e-05  0.090
  9.820 4.011557e-05  0.089
  9.840 3.778398e-05  0.091
  9.860 3.194755e-05  0.092
  9.880 2.504568e-05  0.095
  9.900 1.997709e-05  0.097
  9.920 1.799371e-05  0.093
  9.940 1.852998e-05  0.092
  9.960 1.999794e-05  0.091
  9.980 2.221160e-05  0.092
 10.000 2.505571e-05  0.093
 10.020 2.867779e-05  0.091
 10.040 3.222097e-05  0.090
 10.060 3.484492e-05  0.089
 10.080 3.410902e-05  0.089
 10.100 3.131337e-05  0.090
 10.120 2.764891e-05  0.092
 10.140 2.473762e-05  0.091
 10.160 2.438515e-05  0.088
 10.180 2.538783e-05  0.090
 10.200 2.697294e-05  0.092
 10.220 2.833562e-05  0.092
 10.240 2.914499e-05  0.091
 10.260 3.035554e-05  0.093
 10.280 3.234753e-05  0.093
 10.300 3.617340e-05  0.094
 10.320 4.068480e-05  0.094
 10.340 4.452946e-05  0.092
 10.360 4.619730e-05  0.092
 10.380 4.384417e-05  0.092
 10.400 3.816973e-05  0.093
 10.420 3.099694e-05  0.094
